index,article,original_abstract,original_words,original_sentences,llm_summary,llm_words,llm_sentences,llm_mode,llm_name,llm_model,llm_success,llm_version,group_id,test_mode,created_at
2347,"in constructing a higher dimensional quantum field theory , the regularization and the continuum limit are two important keys. particularly , the problem of the limit associates with hard difficulty in the higher dimensional case. statistical mechanics usually insists that critical behaviors of the phase transition in the theory are equivalent to those of a mean field theory , which has only a trivial fixed point. many pioneering works on lattice gauge theories were trying to overcome the difficulty , although the continuum limit is not taken strictly. where is the continuum limit ? by using well - known 4-dimensional theories such as qed and qcd ,. is it possible to construct the continuum limit by the related critical behavior near the critical point ?. our purpose is to construct a -dimensional pure yang - mills theory by arranging a number of 4-dimensional yang - mills theories with appropriate couplings. a -dimensional lattice space is decomposed into layers with 4 dimensions like as fig.[fig : layer ]. originally , fu and nielsen investigated the system to show dynamical dimensional reduction by using the characteristic vacuum which confines for extra dimensional directions and deconfines for 4 dimensions called a layer phase. we do not assume that the layer phase exists , but use only the decomposition. from now , we focus on a 5-dimensional theory to study the possibility of the construction for higher dimen",a higher dimensional lattice space can be decomposed into a number of four - dimensional lattices called as layers. the higher dimensional gauge theory on the lattice. can be interpreted as four - dimensional gauge theories on the multi - layer with interactions between neighboring layers. we propose the new possibility to realize the continuum limit of a five - dimensional theory based on the property of the phase diagram .,71,4,"This research explores a way to understand complex, higher-dimensional physics by breaking it down into simpler, four-dimensional layers that interact with each other. The study suggests a new method for creating a smooth, continuous version of a five-dimensional theory by carefully examining the relationships between these layers.",47,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:13:52.497933
2348,"hypernuclei are bound systems of non - strange and strange baryons. in present facilities ,. hypernuclei are created with hadronic reactions as ( ,k ) at brookhaven and kek or electroproduction ones as ( e , ek ) at tjnaf. the decay of those objects proceeds via the weak interaction which is 10 orders of magnitude slower than the strong one and violates parity , isospin and strangeness. for the very light hypernuclei. the mesonic decay mode ( ) is dominant , but as increases so does the pauli blocking acting on the outgoing nucleon , and hypernuclei mainly decay via the one - nucleon induced non - mesonic mode ,. since the pioneering phenomenological model of block and dalitz. , many approaches have been developed to understand the dynamics of the decay , and the results have been collected in extensive review articles. many works are based on a meson exchange picture , either using a simple one - pion - exchange mechanism , or including also heavier meson exchanges , such as the. or the complete pseudoscalar and vector meson octets. the effect of correlated - two pion exchange mechanism as well as the role of transitions , implemented in a meson - exchange picture , have also been investigated. a four quark weak transition. effective hamiltonian , corrected by qcd , which contains both and transitions , has also been applied in the study of the weak","we present an update of the one - meson - exchange ( ome ) results for the weak decay of s- and p - shell hypernuclei , paying special attention to the role played by final state interactions between the emitted nucleons. the present study also corrects for a mistake in the inclusion of the and exchange mechanisms , which substantially increases the ratio of neutron - induced to proton - induced transitions ,. with the most up - to - date model ingredients , we find that the ome approach is able to describe very satisfactorily most of the measured observables , including the ratio. #2. pacs number(s ) : 21.80.+a , 24.80.+y , 13.30.eg , 13.75.ev , 13.75.cs",120,15,"This research updates calculations for how certain atomic nuclei decay, specifically focusing on interactions between particles released during the process. The improved calculations better match experimental results and provide a more accurate understanding of these nuclear decays.",37,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:14:03.931649
2349,"recent _ chandra _ observations indicate that relativistic plasma injected into the intracluster medium ( icm ) from radio sources eventually detaches from the radio source , forming bubbles of radio plasma in the icm. in the model proposed by ,. these radio ghosts survive in the icm , and provide a seed population of cosmic rays(crs ). diffuse non - thermal ( nt ) emission is produced when merger induced shocks re - accelerate , via the first order fermi process , this seed cr population. current evidence suggests that these radio ghosts contain a significant population of protons as well as electrons. since demonstrated that diffuse nt x - ray emission could be produced by either primary electrons directly accelerated at shock fronts , or secondary electrons produced during proton - proton collisions , there are two possible sources for the observed diffuse nt emission. to determine the mechanism that produces diffuse nt emission requires accurate measurement of the spectrum and location of the nt emission. simulations by show that diffuse nt emission occurs in a broad mass range of clusters with a luminosity proportional to the x - ray temperature , making cool clusters and groups an important diagnostic for understanding which population of electrons produces diffuse nt emission. they find that spectral index of the diffuse nt emission is dependent on the electron population producing the emission , such that the spectral","we report the first localization of diffuse , non - thermal , x - ray emission from a nearby galaxy cluster. using _. chandra _ data , we have isolated a diffuse non - thermal x - ray component with a photon index , = 2.21 and a flux of 9.5 photons s kev at 1 kev , that extends from .5 to .5 to the south of the x - ray flux peak. comparison to simulations implies that the diffuse non - thermal emission is produced by primary electrons , accelerated at shocks to relativistic velocities. using these results and the flux and hardness maps produced with data from the _ chandra _ advanced ccd imaging spectrometer ,. we conclude that a smaller subclump coming from the north merged with ic1262. the offset of the cd galaxy from the x - ray peak and large peculiar velocity indicate that the subclump s impact parameter was to the west and on the near side of ic1262 .",167,11,"This research identifies a new source of energetic X-ray emissions originating from a galaxy cluster, indicating recent activity within the cluster. Analysis suggests this emission was created by fast-moving particles accelerated during a collision between the main cluster and a smaller one approaching from the north.",46,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:14:17.867029
2350,"pattern formation in spatially extended systems has been an object of extensive study in past few decades. the reasons for the interest in pattern formation are not far to seek. pattern formation happens in several natural systems and scientists are interested in understanding it. examples could be flame propagation or occurrence of spirals in a chemical reactions or patterns on the skins of animals modeled by reaction - diffusion processes. several systems like biological patterns , charge density waves or josephson junction arrays , lasers have been studied extensively from the viewpoint of dynamics and pattern formation. the practical importance of understanding above systems can not be overemphasized. partial differential equations , coupled ordinary differential equations , coupled oscillator arrays and coupled maps have all been used to model different physical and biological systems and have uncovered interesting modifications of equilibrium , bifurcations and stability properties of collective spatiotemporal states. these systems have been studied extensively. however , while we have arrived at a good understanding of low dimensional chaos in past two decades , and understood routes to chaos in several seemingly disparate systems in an unified manner , the same is not true for spatiotemporal systems. as one would expect , there is practical relevance to these models. certain simplified models of spatiotemporal dynam","we investigate coupled circle maps in presence of feedback and explore various dynamical phases observed in this system of coupled high dimensional maps. we observe an interesting transition from localized chaos to spatiotemporal chaos. we study this transition as a dynamic phase transition. we observe that persistence acts as an excellent quantifier to describe this transition. taking the location of the fixed point of circle map ( which does not change with feedback ) as a reference point , we compute number of sites which have been greater than ( less than ) the fixed point till time. though local dynamics is high - dimensional in this case , this definition of persistence which tracks a single variable is an excellent quantifier for this transition. in most cases. , we also obtain a well defined persistence exponent at the critical point and observe conventional scaling as seen in second order phase transitions. this indicates that persistence could work as good order parameter for transitions from fully or partially arrested phase. we also give an explanation of gaps in eigenvalue spectrum of the jacobian of localized state. _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",345,11,"This research examines how interconnected, complex systems change from predictable chaos in specific areas to widespread, unpredictable chaos. Researchers found that measuring how long the system remains above or below a certain point accurately predicts this shift, behaving similarly to established patterns in other types of transitions.",47,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:14:29.855443
2351,"r - parity is a discrete symmetry defined by assigning to every field the number ( - baryon ( lepton ) number , - spin of the particle ). if it is conserved then baryon and lepton number violating transitions are forbidden. in that case , the theory guarantees both proton stability and lepton universality. however , in supersymmetric extensions of the standard model , gauge invariance and renormalizability , the two main principles of any gauge theory , do not assure r - parity conservation. at present , wide phenomenological investigations of r - parity violating processes have been undertaken ( for reviews see e.g. ). here. we will explore the possibility of discovering the lepton number violating process of single chargino production at future lepton - lepton colliders ( see fig.1(i ) for an electron - electron collision ). to our knowledge this process has not yet been discussed , though lepton number violating charginos pair production in electron - electron collisions ( fig.1(ii ) ) has been considered. let us start with electron - electron collisions. the analysis of the muon option is analogous and will be shortly discussed whenever needed. as can be seen from fig.1(i ). , the cross section for single chargino production is proportional to where and are couplings involved in the following lagrangians ( , are family indices ) : these lagrangians are writ",we examine single chargino production in conjunction with r - parity lepton number violation in future lepton - lepton collisions. present bounds on r - parity violating couplings allow for a production cross section of the order of for a wide range of sneutrino and chargino masses. scenarios of chargino decay which lead to purely leptonic signals in the final state and without missing energy are also discussed. = 5000 = 5000 = 1000. @twoside -17pt. eqnsel =. mathrmifundefinedmathrm. 1.2 cm. and,82,10,"This research explores how single chargino particles might be created in future particle collisions when a specific physics rule (R-parity) is broken. The study focuses on scenarios where these particles decay into easily detectable signals—specifically, only leptons—without any energy disappearing, potentially revealing new physics.",44,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:14:42.421337
2353,"the qcd `` hard pomeron '' is understood as the solution of perturbative qcd expansion at high energy ( ) after resumming the leading terms. it is known to obey the bfkl equation. it has recently attracted a lot of interest in relation with the experimental results obtained at hera for deep - inelastic scattering reactions at very low value of where is the virtuality of the photon probe and is , in this case , the c.o.m energy of the -proton system. interestingly enough , the proton structure functions increase with at fixed in a way qualitatively compatible with the prediction of the bfkl equation. however , the phenomenological discussion is still under way , since scattering of a `` hard '' probe on a proton is not a fully perturbative qcd process and moreover , alternative explanations based on renormalization group evolution equations do exist. on the other hand ,. the phenomenological success of parametrizations based on the bfkl evolution in the framework of the qcd dipole model is quite encouraging for a further study of its properties. beyond these phenomenological motivations , there. exist interesting related theoretical problems which we want to address in the present paper. in its 2-dimensional version ,. the bfkl equation expresses the leading - order resummation result for the elastic ( off - mass - shell ) gluon - gluon scattering am","using the qcd dipole picture of bfkl dynamics and the conformal invariance properties of the bfkl kernel in transverse coordinate space , we show that the dipole densities can be expressed in terms of dual shapiro - virasoro amplitudes and their generalization including non - zero conformal spins. we discuss the possibility of an effective closed string theory of interacting qcd dipoles. service de physique thorique. cea - saclay. f-91191 gif - sur - yvette. france",76,6,"This research utilizes established physics principles to demonstrate a connection between QCD dipoles and mathematical functions called dual Shapiro-Virasoro amplitudes. The findings suggest the potential for a new theoretical framework describing how these dipoles interact, potentially resembling a string theory.",40,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:15:18.832137
2355,"coupled oscillator models exhibit complex dynamics that has been observed in a wide range of different fields including physical and biological models. synchronization , clustering , chaos and spontaneous switching between different cluster states have all been observed in such systems. other studies have examined coupling between two or more systems that may individually be chaotic , and a wide variety of types of synchronization have been found and analysed ; see for example. we examine phase oscillator models that are appropriate if the coupling between oscillators is weak compared to the attraction onto the limit cycle ( e.g. ). although the coupling structure and strength are important for the dynamical behaviour of the system , the exact coupling function ( which represents the nonlinearities in the oscillators and the coupling ) has a subtle effect on the collective behaviour of the system. research into the dynamics of coupled nonlinear oscillators has long explored the question `` what is the dynamics of a given system ? ''. a less frequently asked , but also very interesting , question is `` how can we design a coupled system to have specific dynamics ? ''. this latter question was considered by who designed cluster states with a prescribed clustering by giving explicit conditions on the coupling function and its first derivative to have a stable cluster state with a specific cluster","in this paper we examine robust clustering behaviour with multiple nontrivial clusters for identically and globally coupled phase oscillators. these systems are such that the dynamics is completely determined by the number of oscillators and a single scalar function ( the coupling function ). previous work has shown that ( a ) any clustering can stably appear via choice of a suitable coupling function and ( b ) open sets of coupling functions can generate heteroclinic network attractors between cluster states of saddle type , though there seem to be no examples where saddles with more than two nontrivial clusters are involved. in this work. we clarify the relationship between the coupling function and the dynamics. we focus on cases where the clusters are inequivalent in the sense of not being related by a temporal symmetry , and demonstrate that there are coupling functions that give robust heteroclinic networks between periodic states involving three or more nontrivial clusters. we consider an example for oscillators where the clustering is into three inequivalent clusters. we also discuss some aspects of the bifurcation structure for periodic multi - cluster states and show that the transverse stability of inequivalent clusters can , to a large extent , be varied independently of the tangential stability .",211,8,"This research investigates how groups of connected oscillators can reliably form multiple distinct patterns. The study demonstrates that specific connections between oscillators can create stable, complex arrangements with three or more separate groups, and clarifies how to control the stability of these patterns.",43,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:16:08.201197
2356,"instantons are believed to be an essential component of the long - distance physics of the qcd vacuum , and the lattice provides a unique opportunity to gain insight into their role. in this study. , we will for the first time quantitatively examine the extent to which instanton degrees of freedom , contained within standard monte - carlo generated gauge - field configurations , can maintain the characteristic features of the mass and renormalisation functions of the non - perturbative quark propagator. in order to isolate the effects of instanton degrees of freedom a uv filter is required to remove topologically non - trivial fluctuations. a variety of filters have been used , including cooling , ape smearing , hyp smearing and stout link smearing , among others. these algorithms can suffer from destruction of the instanton content of the vacuum , and so in this work we use over - improved stout - link smearing , a form of smearing tuned to preserve instantons. section [ sec : smearing ] briefly describes these smearing methods. we then seek to quantify the effects of smearing on the lattice gauge fields in section [ sec : smearingeffect ]. we produce configurations dominated by instanton - like objects , and compare to the phenomenological instanton liquid model , which models the vacuum as composed of a constant number of instantons and anti - instantons of constant radius. we will then briefly introduce the f","we quantitatively examine the extent to which instanton degress of freedom , contained within standard monte - carlo generated gauge - field configurations , can maintain the characteristic features of the mass and renormalisation functions of the non - perturbative quark propagator. we use over - improved stout - link smearing to isolate instanton effects on the lattice. using a variety of measures ,. we illustrate how gauge fields consisting almost solely of instanton - like objects are produced after only 50 sweeps of smearing. we find a full vacuum , with a packing fraction more than three times larger than phenomenological models predict. we calculate the overlap quark propagator on these smeared configurations , and find that even at high levels of smearing the majority of the characteristic features of the propagator are reproduced. we thus conclude that instantons contained within standard monte - carlo generated gauge - field configurations are the degrees of freedom responsible for the dynamical generation of mass observed in lattice qcd .",168,7,"This research investigates whether tiny, quantum fluctuations called “instantons” within computer simulations can explain how quarks gain mass in particle physics. The study found that these instantons are plentiful and significantly contribute to quark mass, even when the simulations focus primarily on these fluctuations.",44,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:16:24.380805
2357,"in [ k ] khovanov introduced a homology theory for links in that was a categorification of the jones polynomial. in [ aps ] asaeda , przytycki and sikora extended this theory to links embedded in i - bundles. their homology theory incorporated some of the topology of the i - bundle into their invariant. turner and turaev showed in [ t ] that the homology from [ aps ] could be recreated using embedded surfaces as elements of the chain groups instead of decorated diagrams. in this paper. we accomplish that in the case of i - bundles over orientable surfaces. section 2 contains definitions and explains the skein relations on surfaces that are used. section 3 defines the grading on the chain groups and which surfaces generate the chain groups. the boundary operator is defined in section 4 and it is also shown that it is well - defined with respect to the relations. in section 5. it is proved that the boundary operator squared is equal to zero , and thus the boundary operator together with the chain groups form a chain complex. finally , in section 6 it is shown that the homology produced from the chain complex coincides with the homology from [ aps ]. let be a surface properly embedded in a 3-manifold. a boundary circle of is said to be * inessential *. if it bounds a disk in , otherwise it is said to be * essential*. if is an oriented surface and is an oriented boundary component of the","this paper introduces a homology theory for links in i - bundles over an orientable surface. the theory is unique in that the elements of the chain groups are surfaces instead of diagrams. it is then shown this theory yields the same results as the homology theory constructed by asaeda , przytycki and sikora .",55,3,"This research presents a new way to categorize and study links—intertwined loops—within a specific mathematical structure called an I-bundle. The new method uses surfaces to define these links, and it confirms that it produces the same results as a previously established, related theory.",43,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:16:42.727883
2358,"graph reconstruction is an old and extensive research topic. it dates back to the _ reconstruction conjecture _ raised by kelly and ulam in 1941 ( see. ) , which asserts that every graph on at least three vertices is uniquely determined by its collection of vertex deleted subgraphs. as a natural extension of the reconstruction conjecture ,. numerous papers considered either reconstruction of structures other then graphs ( a research topic proposed by ulam in 1960 ) , or reconstructions of graphs from other information. in the first direction , reconstructed objects include colored graphs , hypergraphs , matroids , relations , and other classes. in the second direction ,. the `` information '' may be -vertex deleted subgraphs , edge - deleted subgraphs , elementary contractions , spanning trees , etc. in addition , various papers considered reconstruction of _ parameters of the graph _ instead of its full structure. such parameters include the order , the degree sequence , planarity , the types of spanning trees , and many others ( see the surveys. for references ). in this paper , we study the problem of reconstructing the geometric structure of a set of points in the plane from its geometric tree graph. _. tree graphs _ were defined in 1966 by cummins. in the context of listing all spanning trees of a given connected graph effectively. the _ tree graph _ of a graph has the spanning trees of as i","let be a finite set of points in general position in the plane. the structure of the complete graph as a geometric graph includes , for any pair ,[c , d]$ ] of vertex - disjoint edges , the information whether they cross or not. the simple ( i.e. , non - crossing ) spanning trees ( ssts ) of are the vertices of the so - called geometric tree graph of ,. two such vertices are adjacent in if they differ in exactly two edges , i.e. , if one can be obtained from the other by deleting an edge and adding another edge. in this paper. we show how to reconstruct from ( regarded as an abstract graph ) the structure of as a geometric graph. we first identify within the vertices that correspond to spanning stars. then we regard each star with center as the representative in of the vertex of. ( this correspondence is determined only up to an automorphism of as a geometric graph. ). finally we determine for any four distinct stars and , by looking at their relative positions in , whether the corresponding segments cross .",194,15,"This research focuses on understanding how the geometric arrangement of points affects the possible non-crossing connections between them. The study demonstrates a method to rebuild the original geometric information – specifically, which lines connecting points cross each other – simply by analyzing the different ways to connect the points with non-crossing trees and identifying key star-shaped patterns within those connections.",60,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:17:03.428860
2359,"the interplay of band theoretic issues of hybridization and chemical bonding with the quantum chemical issue of strong local correlations is basic to the physics of many important materials. in an important paper zaanen , sawatzky and allen classified insulating transition metal oxides as `` charge - transfer '' or `` mott '' insulators according to whether the physics could be discussed solely in terms of strong correlated transition metal states or whether transitions to o states. were important to the low energy physics. the issue arises with particular force in the high temperature superconductors where the cu and states are not far in energy from o states , but the cu state is very far away in energy. in this circumstance. a strong particle - hole asymmetry is expected , with doped electrons residing on cu sites whereas doped holes reside mainly on the o , but may be bound to cu spins creating. zhang - rice singlets"". quantifying this appealing physical picture requires solving an electronic structure problem with multiple scales , including a correlation energy on the cu site ev , a cu - o energy level difference of 2 - 4ev, and a cu - o hybridization ev. in this paper we use single - site dynamical mean - field theory ( dmft ) to solve a model involving both copper and oxygen orbitals , developing a comprehensive theoretical picture of the electronic structure and o","the three - band model relevant to high temperature copper - oxide superconductors is solved using single - site dynamical mean field theory and a tight - binding parametrization of the copper and oxygen bands. for a band filling of one hole per unit cell. the metal / charge - transfer - insulator phase diagram is determined. the electron spectral function , optical conductivity and quasiparticle mass enhancement are computed as functions of electron and hole doping for parameters such that the corresponding to the paramagnetic metal and charge - transfer insulator sides of the one hole per cell phase diagram. the optical conductivity is computed using the peierls phase approximation for the optical matrix elements. the calculation includes the physics of `` zhang - rice singlets ''. the effects of antiferromagnetism on the magnitude of the gap and the relation between correlation strength and doping - induced changes in state density are determined. three band and one band models are compared. the two models are found to yield quantitatively consistent results for all energies less than about ev , including energies in the vicinity of the charge - transfer gap. parameters on the insulating side of the metal / charge - transfer insulator phase boundary lead to gaps which are too large and near - gap conductivities which are too small relative to data. the results place the cuprates clearly in the intermediate correlation regime , on the paramagn",240,11,"This research uses computer modeling to understand how electrons behave in high-temperature superconductors, specifically copper-oxide materials. The study clarifies the relationship between electron interactions, material composition, and the transition between conducting and insulating states, finding these materials exist in an “intermediate correlation regime.”",43,3,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:17:25.646584
2360,"pulsars are unique objects , with which all types of elemental interaction could be tested extremely. however , the most elementary question relevant is still open : _ what is the nature of pulsars ? _ it is conventionally thought that pulsars are simply a kind of boring big `` nuclei '' neutron stars , but more and more attention is paid to the quark star model for pulsars since _ no _ convincing work , neither in theory from first principles nor in observation , has confirmed baade - zwicky s original idea that supernovae produce neutron stars. the bare quark surface is suggested to be a new probe for identifying quark stars with strangeness , and possible observational evidence for bare strange stars appears : the drifting subpulses of radio pulsars , ultra - high luminosity of soft -ray repeaters , non - atomic thermal spectra of isolated `` neutron '' stars. however , can the bare strange star model reproduce most of the general features of pulsars ( especially glitches ) ?. the observation of free precession in psr b1828 - 11 and psr b1642 - 03 challenges astrophysicists today to re - consider the internal structure of radio pulsars. the current model for glitches involves neutron superfluid vertex pinning and the consequent fluid dynamics. however , the pinning should be much weaker than predicted in the glitch models , otherwise the vortex pinning will damp out the precession on timescales being much smaller than ob","a starquake mechanism for pulsar glitches is developed in the solid quark star model. it is found that the general glitch natures ( i.e. , the glitch amplitudes and the time intervals ) could be reproduced if solid quark matter , with high baryon density but low temperature , has properties of shear modulus erg/ and critical stress erg/. the post - glitch behavior may represent a kind of damped oscillations. _ pacs codes : g , 97.60.j , 11.80.f. ,. ,. ,. ,. pulsars , neutron stars , elementary particles",91,15,"This research proposes a way to explain sudden changes in pulsar rotation (“glitches”) by suggesting they are caused by “starquakes” within extremely dense stars made of quark matter. The study finds that specific properties of this quark matter can accurately model observed glitch sizes and timing, with the recovery period after a glitch resembling a fading vibration.",57,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:17:44.978129
2361,"in most countries , learning microscopic origin of nature is considered to be an important topic in science education. however , there are not so many student experiments or demonstrations which exhibit the existence of individual atom in direct and intuitive manner. the cloud chamber experiment is a rare exception ; it provides most direct and intuitive way to convince students existence of microscopic particles. beautiful tracks of particles draw audience s attention and interest. various chambers have been developed and used in classroom. most of simple chambers seem to be based on the results of needles and nielsen and cowan , which use a block of dry ice and a beaker filled with ethanol vapour. the great simplicity of their chamber enables students to make diy chamber at home or classroom. such a chamber works well if one uses a radioactive source. from spring 2008 , one of the authors ( s.z. ). has been working on classroom experiment program using cloud chamber. an one - day experiment course had been given for local junior high school students. from spring 2011 , some students ( rest of the authors ) have joined this project as a part of super science high school ( ssh ) activity. the typical setting of a chamber is shown in figure [ typicalchamber ]. a chamber is not so large ; smallest example is a glass laboratory dish with radius 5 cm and height 1 cm. a standard chamber we have used is a round glass contai",we present a sensitive diffusion cloud chamber which does not require any radioactive sources. a major difference from a commonly used chamber. is use of a heat sink as its bottom plate. a result of a performance test of the chamber is given .,44,4,"This research details a new type of cloud chamber that can detect particles without needing radioactive materials, unlike traditional models. It utilizes a cooling system at the base to function and testing demonstrates its effectiveness.",35,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:18:01.661579
2363,"today , bianchi type ix enjoys an almost mythical status in general relativity and cosmology , which is due to two commonly held beliefs : ( i ) type ix dynamics is believed to be essentially understood ; ( ii ) bianchi type ix is believed to be a role model that captures the generic features of generic spacelike singularities. however , we will illustrate in this paper that there are reasons to question these beliefs. the idea that type ix is essentially understood is a misconception. in actuality , surprisingly little is known , i.e. , proved , about type ix asymptotic dynamics ; at the same time there exist widely held , but rather vague , beliefs about mixmaster dynamics , oscillations , and chaos , which are frequently mistaken to be facts. there is thus a need for clarification : what are the known facts and what is merely believed about type ix asymptotics. ? we will address this issue in two ways : on the one hand , we will discuss the main rigorous results on mixmaster dynamics , the ` bianchi type ix attractor theorem ' , and its consequences ; in particular , we will point out the limitations of these results. on the other hand. , we will provide the infrastructure that makes it possible to sharpen commonly held beliefs ; based on this framework we will formulate explicit refutable conjectures. historically , bianchi type ix vacuum and orthogonal perfect fluid models entered the scene in the late sixties through the work of belinskii , khala","we consider the dynamics towards the initial singularity of bianchi type ix vacuum and orthogonal perfect fluid models with a linear equation of state. surprisingly few facts are known about the ` mixmaster ' dynamics of these models , while at the same time most of the commonly held beliefs are rather vague. in this paper. , we use mixmaster facts as a base to build an infrastructure that makes it possible to sharpen the main mixmaster beliefs. we formulate explicit conjectures concerning ( i ) the past asymptotic states of type ix solutions and ( ii ) the relevance of the mixmaster / kasner map for generic past asymptotic dynamics. the evidence for the conjectures is based on a study of the stochastic properties of this map in conjunction with dynamical systems techniques. we use a dynamical systems formulation , since this approach has so far been the only successful path to obtain theorems , but we also make comparisons with the ` metric ' and hamiltonian ` billiard ' approaches .",173,7,"This research investigates the very beginning of the universe (the “initial singularity”) using mathematical models and a concept called “mixmaster” dynamics. By studying the behavior of these models, the authors aim to confirm or refine existing theories about the universe’s earliest moments and how it evolved.",46,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:18:55.649909
2364,"stars more massive than 25 form a black hole at the end of their evolution. stars with non - rotating black holes are likely to collapse `` quietly '' ejecting a small amount of heavy elements ( faint supernovae ). in contrast , stars with rotating black holes are likely to give rise to very energetic supernovae ( hypernovae ). we present distinct nucleosynthesis features of these two classes of `` black - hole - forming '' supernovae. nucleosynthesis in hypernovae is characterized by larger abundance ratios ( zn , co , v , ti)/fe and smaller ( mn , cr)/fe than normal supernovae , which can explain the observed trend of these ratios in extremely metal - poor stars. nucleosynthesis in faint supernovae is characterized by a large amount of fall - back. we show that the abundance pattern of the recently discovered most fe - poor star , he0107 - 5240 , and other extremely metal - poor stars are in good accord with those of black - hole - forming supernovae , but not pair - instability supernovae. this suggests that black - hole - forming supernovae made important contributions to the early galactic ( and cosmic ) chemical evolution. finally we discuss the nature of first ( pop iii ) stars. type ic hypernovae 1998bw and 2003dh were clearly linked to the gamma - ray bursts grb 980425 ( galama et al. 1998 ) and grb 030329 ( stanek et al. 2003 ; hjorth et al. 2003 ) , thus establishing the connection between long grbs and core - collapse","recent studies of core - collapse supernovae have revealed the existence of two distinct classes of massive supernovae ( sne ) : 1 ) very energetic sne ( hypernovae ) , whose kinetic energy ( ke ) exceeds erg , about 10 times the ke of normal core - collapse sne , and 2 ) very faint and low energy sne ( 0.5 erg ; faint supernovae ). these two classes of supernovae are likely to be `` black - hole - forming '' supernovae with rotating or non - rotating black holes. we compare their nucleosynthesis yields with the abundances of extremely metal - poor ( emp ) stars to identify the pop iii ( or first ) supernovae. we show that the emp stars , especially the c - rich type , are likely to be enriched by black - hole - forming supernovae .",147,5,"Recent research identifies two types of powerful star explosions—extremely energetic “hypernovae” and very faint supernovae—both likely creating black holes. These explosions appear to be the source of certain elements found in the oldest, most metal-poor stars, helping us understand the universe’s first stars.",43,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:19:07.831502
2365,"harmonics generation and wave - mixing are one of the basic phenomena of nonlinear optics which have been extensively studied both theoretically and experimentally with the advent of lasers. recent advance in laser technologies has provided ultrahigh intensities for supershort laser pulses that makes achievable non - perturbative regime of harmonic generation , which significantly extends the spectral region accessible by lasers , in particular , for short wavelengths towards vuv / xuv or even x - ray radiation. such short wavelength radiation is of great interest due to numerous significant applications , e.g. in quantum control , spectroscopy , sensing and imaging etc. depending on the laser - atom interaction parameters , harmonic generation may arise from bound - bound and bound - free - bound transitions via continuum spectrum. bound - bound mechanism of harmonic generation without ionization is more efficient for generation of moderately high harmonics. for this mechanism resonant interaction. is of importance. besides pure theoretical interest as a simple model , resonant interaction regime exhibits significant enhancement of frequency conversion efficiencies. however , to access highly excited states of atoms / molecules by optical lasers the multiphoton excitation problem arises. required resonantly - driven multiphoton transition is effective for the systems with the mean dipole moments in the statio",we consider harmonics generation and wave - mixing by two - color multiphoton resonant excitation of three - level atoms / molecules in strong laser fields. the coherent part of the spectra corresponding to multicolor harmonics generation is investigated. the obtained analytical results on the basis of generalized rotating wave approximation are in a good agreement with numerical calculations. the results applied to the hydrogen atom and homonuclear diatomic molecular ion show that one can achieve efficient generation of moderately high multicolor harmonics via multiphoton resonant excitation by appropriate laser pulses .,92,4,"This research explores how to efficiently create new light frequencies by using strong laser pulses to excite atoms and molecules. The study demonstrates that carefully designed laser pulses can generate these new light frequencies, confirmed by both calculations and theoretical predictions using models applied to hydrogen and diatomic ions.",49,2,1,Google Gemini,models/gemma-3-27b-it,True,V4,0,False,2026-01-08T15:19:24.614421
